"id","date","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
2001,"03-Oct-22",42,self-employed,married,university.degree,no,yes,no,telephone,may,mon,1002,5,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2002,"03-Oct-22",42,management,married,university.degree,unknown,yes,no,telephone,may,mon,181,4,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2003,"03-Oct-22",59,management,married,university.degree,no,no,no,telephone,may,mon,460,5,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,yes
2004,"03-Oct-22",33,unemployed,married,professional.course,unknown,yes,no,telephone,may,mon,129,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2005,"03-Oct-22",48,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,76,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2006,"03-Oct-22",53,technician,single,professional.course,no,yes,no,telephone,may,mon,111,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2007,"03-Oct-22",57,blue-collar,married,unknown,unknown,unknown,unknown,telephone,may,mon,98,3,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2008,"03-Oct-22",34,services,married,high.school,unknown,yes,no,telephone,may,mon,221,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2009,"03-Oct-22",51,services,divorced,professional.course,no,yes,no,telephone,may,mon,150,7,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2010,"03-Oct-22",39,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,399,3,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2011,"03-Oct-22",45,unknown,married,unknown,unknown,no,no,telephone,may,mon,139,6,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2012,"03-Oct-22",37,admin.,married,high.school,no,yes,no,telephone,may,mon,115,4,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2013,"03-Oct-22",44,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,149,5,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2014,"03-Oct-22",48,admin.,married,university.degree,no,no,yes,telephone,may,mon,327,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2015,"03-Oct-22",59,retired,married,university.degree,unknown,no,no,telephone,may,mon,92,4,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2016,"03-Oct-22",44,admin.,single,high.school,no,no,no,telephone,may,mon,111,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2017,"03-Oct-22",50,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,192,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2018,"03-Oct-22",35,services,married,high.school,no,yes,no,telephone,may,mon,88,5,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
2019,"03-Oct-22",53,self-employed,married,university.degree,no,no,no,telephone,may,mon,592,2,999,0,nonexistent,1.1,"93 994",-36.4,"4 857",5191,no
